rank,name,nation,born,bw,group,lift1,lift2,lift3,lift4,cat,sec,event_id,old_classes
---,FANG Wan Ling,TPE,"Dec 01, 1999",49.00,A,102,-106,107,107,49kgWomen,CleanJerk,604,False
---,DELACRUZ Jourdan Elizabeth,USA,"May 20, 1998",49.00,A,105,-110,111,111,49kgWomen,CleanJerk,604,False
---,MIRABAI Chanu Saikhom,IND,"Aug 08, 1994",48.80,A,-111,111,-114,111,49kgWomen,CleanJerk,604,False
---,KHAMBAO Surodchana,THA,"Dec 23, 1999",49.00,A,110,112,-114,112,49kgWomen,CleanJerk,604,False
---,CAMBEI Mihaela-Valentina,ROU,"Nov 18, 2002",49.00,A,106,110,112,112,49kgWomen,CleanJerk,604,False
1,HOU Zhihui,CHN,"Mar 18, 1997",49.00,A,89,117,206,---,49kgWomen,Total,604,False
2,CAMBEI Mihaela-Valentina,ROU,"Nov 18, 2002",49.00,A,93,112,205,---,49kgWomen,Total,604,False
3,KHAMBAO Surodchana,THA,"Dec 23, 1999",49.00,A,88,112,200,---,49kgWomen,Total,604,False
4,MIRABAI Chanu Saikhom,IND,"Aug 08, 1994",48.80,A,88,111,199,---,49kgWomen,Total,604,False
5,DELACRUZ Jourdan Elizabeth,USA,"May 20, 1998",49.00,A,84,111,195,---,49kgWomen,Total,604,False
6,FANG Wan Ling,TPE,"Dec 01, 1999",49.00,A,86,107,193,---,49kgWomen,Total,604,False
7,PIRON CANDELARIO Beatriz Elizabeth,DOM,"Feb 27, 1995",49.00,A,85,107,192,---,49kgWomen,Total,604,False
8,SUZUKI Rira,JPN,"Sep 06, 1998",48.80,A,83,108,191,---,49kgWomen,Total,604,False
9,ECHANDIA ZARATE Katherin Oriana,VEN,"Aug 14, 2001",49.00,A,83,105,188,---,49kgWomen,Total,604,False
10,RANDAFIARISON Rosina,MAD,"Dec 29, 1999",48.20,A,80,100,180,---,49kgWomen,Total,604,False
11,LAGATAO Nicola,GUM,"Nov 10, 1991",48.45,A,59,77,136,---,49kgWomen,Total,604,False
---,STERCKX Nina,BEL,"Jul 26, 2002",49.00,A,---,---,---,---,49kgWomen,Total,604,False
---,GOMEZ VALDIVIA Janeth,MEX,"Oct 26, 1997",59.00,A,-92,92,95,95,59kgWomen,Snatch,604,False
---,TCHAKOUNTE Dora Meiriama,FRA,"Mar 23, 1995",58.85,A,95,98,-100,98,59kgWomen,Snatch,604,False
---,SASSER Mathlynn Langtor,MHL,"Dec 25, 1996",58.95,A,-94,-94,94,94,59kgWomen,Snatch,604,False
---,MAGISTRIS Lucrezia,ITA,"Apr 21, 1999",59.00,A,-96,96,-100,96,59kgWomen,Snatch,604,False
---,ALVAREZ CAICEDO Yenny Fernanda,COL,"May 24, 1995",59.00,A,101,103,105,105,59kgWomen,Snatch,604,False
---,KONOTOP Kamila,UKR,"Mar 23, 2001",58.85,A,104,-106,-106,104,59kgWomen,Snatch,604,False
