athlete_id,name,name_alt,date_of_birth,gender,nations
13301,RADILLA Arzate Esteban,NA,1984-05-11,M,MEX
15044,SHPIHANOVICH Mikita,NA,1984-05-11,M,BLR
1223,ANOUSHIRAVANI HAMLABAD Sajjad,NA,1984-05-12,M,IRI
13780,RIZO GUIZAR Hector Francisco,NA,1984-05-13,M,MEX
15085,SIDIROPOULOU Eleni,NA,1984-05-14,W,GRE
13928,ROJAS Maiker,NA,1984-05-15,M,VEN
15279,SLAVOV Slav,NA,1984-05-17,M,BUL
9869,MAIER Shane Daniel,NA,1984-05-18,M,USA
12007,OKADA Hidenori,NA,1984-05-18,M,JPN
8682,KRULJAC Mihaela,NA,1984-05-20,W,CRO
